simulation_date,intial_date,final_date, initial_index, final_index, index_return, initial_porfolio, final_porfolio, portfolio_return,long_trades,good_long_trades,long_trades_profit,long_stop_loss,short_trades,good_short_trades,short_trades_profit,m_short_stop_loss, small_ma, medium_ma, large_ma, min_slope, sm_mode_up, small_ma, medium_ma, large_ma, min_slope, sm_mode_dn, slope_points, stop_loss
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2328.5,132.85%,220,144,1237.13,9,118,61,91.37,1,27,23,10,0.0369,5,16,28,2,0.0379,6,205,0.0711
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2313.22,131.32%,400,251,1384.86,2,144,79,-71.64,2,28,13,24,0.0898,4,28,14,5,0.0149,6,312,0.0751
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2304.45,130.44%,398,264,1304.45,11,0,0,0,0,28,3,22,0.0514,3,10,4,27,0.0078,0,41,0.0721
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2298.93,129.89%,344,174,1267.75,121,124,62,31.18,64,12,3,16,0.0013,1,20,17,9,0.0161,3,311,0.0088
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2297.35,129.73%,856,621,1297.35,11,0,0,0,0,10,5,2,0.0593,6,10,34,4,0.0099,0,129,0.0431
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2287.38,128.74%,288,197,1287.38,8,0,0,0,0,29,4,25,0.0355,1,3,50,76,0.01,0,103,0.0681
31/07/2021 13:51,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2277.65,127.77%,354,212,1277.65,3,0,0,0,0,14,26,10,0.0845,5,4,33,46,0.0451,0,263,0.0895
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2274.11,127.41%,184,92,1274.11,1,0,0,0,0,4,32,45,0.0158,1,22,10,30,0.0113,0,164,0.0863
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2237.67,123.77%,363,147,732.41,41,139,73,505.26,22,7,12,47,0.0136,6,9,25,7,0.0031,6,140,0.0221
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2231.87,123.19%,321,226,1057.59,12,131,50,174.28,6,23,24,11,0.0544,1,18,27,24,0.0339,7,242,0.0447
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2217.63,121.76%,444,287,1078.08,36,128,43,139.55,0,17,19,15,0.0165,1,4,33,12,0.0061,3,70,0.0255
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2214.11,121.41%,152,86,1214.11,1,0,0,0,0,13,9,42,0.0257,1,10,36,35,0.0148,0,489,0.0887
31/07/2021 13:51,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2213.56,121.36%,275,151,1328.8,0,111,49,-115.24,0,4,31,21,0.0457,5,19,33,16,0.0095,2,414,0.0995
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2209.77,120.98%,290,191,1334.15,25,25,8,-124.38,0,28,23,3,0.0422,5,13,28,9,0.0206,7,28,0.0585
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2209.53,120.95%,364,205,1209.53,0,0,0,0,0,24,21,31,0.0263,6,3,22,77,0.0268,0,229,0.0941
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2203.29,120.33%,371,264,1649.99,4,85,28,-446.71,1,27,9,12,0.0248,6,30,45,52,0.0014,7,138,0.0946
31/07/2021 13:51,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2191.66,119.17%,356,261,1191.66,6,0,0,0,0,25,2,5,0.0787,1,2,12,43,0.0104,0,248,0.0768
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2180.82,118.08%,220,114,1180.82,5,0,0,0,0,22,18,46,0.0733,6,17,42,28,0.0252,0,315,0.0506
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2166.28,116.63%,130,81,1727.63,1,255,157,-561.34,5,19,36,35,0.0617,5,20,2,23,0.0384,7,292,0.092
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2164.7,116.47%,1190,819,1164.7,59,0,0,0,0,8,4,34,0.049,7,9,23,69,0.0123,0,495,0.0224
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2124.18,112.42%,362,261,1139.61,4,143,76,-15.43,1,28,5,9,0.019,6,29,9,22,0.0364,4,457,0.0964
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2123.62,112.36%,196,73,621.77,99,74,21,501.85,41,5,39,20,0.0024,1,20,46,46,0.0332,6,328,0.0069
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2112.39,111.24%,332,171,1268.37,27,76,18,-155.98,21,2,16,22,0.027,1,22,46,12,0.0452,7,325,0.0247
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2112.37,111.24%,348,244,1112.37,5,0,0,0,0,26,18,14,0.0695,4,3,35,23,0.0096,0,286,0.0633
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2103.45,110.35%,280,182,1427.36,5,79,21,-323.9,0,25,34,4,0.0176,5,6,40,44,0.0068,2,171,0.0857
31/07/2021 13:55,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2100.01,110.00%,921,573,1100.01,6,0,0,0,0,14,12,31,0.0599,7,4,45,17,0.0434,0,498,0.0464
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2097.32,109.73%,196,107,1560.04,4,177,93,-462.72,5,11,34,20,0.0488,5,27,48,13,0.0185,4,92,0.0757
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2063.75,106.37%,259,162,1365.39,6,55,14,-301.64,0,23,39,21,0.0607,5,18,25,62,0.019,4,278,0.0713
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2061.43,106.14%,413,187,1085.21,170,128,40,-23.78,66,18,22,20,0.023,5,25,32,26,0.0258,7,489,0.0086
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2020.48,102.05%,200,104,1020.48,3,0,0,0,0,29,33,49,0.0676,6,21,32,47,0.0115,0,350,0.0453
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2011.6,101.16%,358,201,1638.34,7,61,18,-626.74,9,10,25,2,0.0821,5,6,45,21,0.0231,1,266,0.0509
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,2007.16,100.72%,267,180,1354.32,2,262,106,-347.16,0,26,24,23,0.0966,5,28,29,8,0.0492,7,266,0.0998
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1983.53,98.35%,455,298,805.76,9,283,84,177.77,0,22,8,14,0.0234,4,2,7,17,0.0482,4,277,0.0622
31/07/2021 13:51,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1977.27,97.73%,3118,2008,1149.14,0,658,324,-171.87,4,3,2,29,0.0445,7,3,2,2,0.044,5,315,0.0774
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1965.99,96.60%,328,224,1121.94,6,92,35,-155.95,0,22,26,8,0.0206,5,11,29,21,0.0121,2,237,0.0656
31/07/2021 13:55,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1948.74,94.87%,248,132,788.96,29,118,54,159.78,6,3,22,25,0.0339,1,10,27,11,0.0388,2,203,0.0234
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1945.75,94.58%,393,276,959.34,6,94,62,-13.59,2,25,3,9,0.0212,6,15,38,2,0.0301,2,437,0.0736
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1943.5,94.35%,191,89,943.5,0,0,0,0,0,20,10,33,0.0006,2,4,4,62,0.0239,0,344,0.0991
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1943.29,94.33%,338,237,943.29,2,0,0,0,0,25,4,11,0.046,2,20,10,47,0.0189,0,318,0.0958
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1941.23,94.12%,334,223,1204.98,5,89,22,-263.75,0,26,15,18,0.0287,5,7,12,64,0.0336,4,178,0.0808
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1941.07,94.11%,112,37,587.62,71,147,43,353.46,88,25,38,36,0.0828,1,19,12,43,0.0227,6,239,0.0063
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1937.79,93.78%,332,224,1276.61,4,152,84,-338.82,5,23,10,13,0.032,5,29,11,62,0.0094,7,339,0.0746
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1937.67,93.77%,139,82,937.67,5,0,0,0,0,16,9,46,0.0129,1,17,50,44,0.0156,0,213,0.0735
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1934.71,93.47%,250,165,1363.57,8,223,123,-428.86,54,25,32,23,0.0141,2,26,7,63,0.0282,7,94,0.0255
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1925.59,92.56%,171,66,634.73,99,292,98,290.86,105,14,33,47,0.0703,1,4,13,9,0.0272,7,409,0.0054
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1919.58,91.96%,284,185,1220.95,6,71,22,-301.37,3,23,20,5,0.0314,5,16,40,6,0.038,1,499,0.0728
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1918.81,91.88%,360,231,745.86,18,118,41,172.95,0,18,2,20,0.0891,5,3,34,19,0.0063,3,271,0.0387
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1903.13,90.31%,320,151,903.13,3,0,0,0,0,2,22,33,0.069,5,16,45,53,0.0264,0,340,0.0608
31/07/2021 13:55,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1897.56,89.76%,333,228,1075.33,20,111,44,-177.77,15,30,20,38,0.067,7,3,20,51,0.0277,5,135,0.0398
31/07/2021 13:51,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1888.77,88.88%,304,218,1154.14,3,71,21,-265.37,0,29,16,2,0.0627,7,10,35,34,0.0164,3,245,0.0932
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1887.1,88.71%,719,520,1344.66,3,243,92,-457.56,0,14,8,6,0.0245,4,13,15,17,0.0443,6,272,0.0888
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1882.82,88.28%,495,348,882.82,14,0,0,0,0,20,2,11,0.0422,4,16,15,12,0.0284,0,160,0.0573
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1881.73,88.17%,267,158,1350.68,9,149,42,-468.95,3,16,35,7,0.0709,5,9,28,4,0.0073,7,275,0.0582
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1880.75,88.08%,409,316,1079.96,12,135,49,-199.21,2,30,5,31,0.069,7,11,21,31,0.013,2,80,0.0583
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1879.26,87.93%,693,320,879.26,4,0,0,0,0,4,3,17,0.0297,6,13,13,69,0.0409,7,443,0.0768
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1875.88,87.59%,576,297,1425.9,128,65,9,-550.01,48,5,18,3,0.07,5,25,21,65,0.0019,1,406,0.0128
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1866.68,86.67%,261,151,1403.97,7,76,24,-537.28,6,8,34,14,0.0013,5,29,24,51,0.0216,4,301,0.0514
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1866.31,86.63%,158,98,1069.44,1,152,100,-203.13,2,26,18,31,0.046,1,14,10,3,0.008,3,128,0.0944
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1863.89,86.39%,206,122,863.89,3,0,0,0,0,26,35,28,0.0891,5,29,28,2,0.0195,0,174,0.0946
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1856.18,85.62%,560,397,856.18,7,0,0,0,0,19,6,5,0.0088,6,22,3,73,0.03,0,216,0.0651
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1852.46,85.25%,174,114,1106.14,1,107,51,-253.69,2,24,19,19,0.083,5,13,8,36,0.0036,1,109,0.0918
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1844.68,84.47%,398,205,844.68,1,0,0,0,0,19,10,26,0.0278,6,13,4,39,0.032,0,347,0.0896
31/07/2021 13:55,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1841.78,84.18%,553,415,1172.28,29,168,49,-330.5,4,22,5,6,0.0178,7,9,49,25,0.0196,4,272,0.0359
31/07/2021 13:51,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1839.55,83.95%,194,147,834.24,15,126,37,5.31,0,27,34,14,0.0199,3,4,36,14,0.0259,2,77,0.0378
31/07/2021 13:51,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1836.43,83.64%,378,189,975.35,3,121,26,-138.92,2,14,13,26,0.0434,6,4,18,36,0.0236,2,310,0.0599
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1834.46,83.45%,840,591,795.67,2,172,73,38.79,0,12,4,17,0.0022,7,15,6,20,0.0018,3,173,0.0994
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1833.53,83.35%,214,104,833.53,1,0,0,0,0,5,38,29,0.0403,5,17,24,32,0.0098,0,94,0.0853
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1832.69,83.27%,319,199,832.69,16,0,0,0,0,28,38,26,0.0506,1,8,37,71,0.0007,0,38,0.0538
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1825.15,82.51%,239,146,945.39,1,107,33,-120.25,0,25,14,29,0.016,5,8,39,80,0.0173,7,164,0.0873
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1816.13,81.61%,321,192,816.13,2,0,0,0,0,16,26,11,0.0824,5,3,22,17,0.0068,0,432,0.0979
31/07/2021 13:55,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1815.29,81.53%,377,279,1173.18,5,152,42,-357.89,2,26,12,6,0.0544,7,6,31,34,0.0301,4,156,0.0755
31/07/2021 13:51,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1813.48,81.35%,341,264,669.39,5,16,4,144.09,1,26,3,2,0.0502,2,22,28,60,0.0226,5,63,0.064
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1810.64,81.06%,688,489,1242.73,3,84,27,-432.09,0,16,39,5,0.0204,4,22,43,50,0.0043,7,404,0.092
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1809.58,80.96%,151,89,1167.94,1,63,20,-358.36,1,17,3,36,0.0265,1,18,47,5,0.0231,1,367,0.0821
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1799.93,79.99%,246,160,799.93,11,0,0,0,0,22,29,6,0.0425,1,13,47,68,0.0478,0,238,0.0423
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1794.32,79.43%,214,172,794.32,21,0,0,0,0,30,18,7,0.0689,3,16,10,44,0.0258,0,95,0.03
31/07/2021 13:52,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1791.08,79.11%,206,133,1016.49,11,89,43,-225.42,6,26,19,12,0.0277,5,27,35,12,0.0425,2,465,0.0627
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1786.5,78.65%,265,157,786.5,10,0,0,0,0,27,7,28,0.0959,5,6,47,36,0.031,0,407,0.0602
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1785.62,78.56%,563,391,1123.67,8,111,41,-338.06,0,18,5,9,0.02,4,20,35,31,0.0105,6,339,0.0646
31/07/2021 13:53,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1783.85,78.38%,689,495,783.85,7,0,0,0,0,9,8,2,0.0387,2,8,12,76,0.0473,0,262,0.0432
31/07/2021 13:51,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1780.58,78.06%,294,191,780.58,0,0,0,0,0,19,17,13,0.0806,3,23,12,26,0.0419,0,7,0.0849
31/07/2021 13:51,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1779.89,77.99%,276,115,1117.65,102,357,148,-337.76,107,18,5,45,0.027,6,20,19,5,0.0317,7,347,0.0088
31/07/2021 13:54,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1774.44,77.44%,208,135,836.53,21,180,59,-62.09,7,27,32,24,0.0537,1,12,9,21,0.023,3,70,0.028
31/07/2021 13:51,29/09/2003 09:00,04/07/2021 21:00,1000,4348.4,334.84%,1000,1770.19,77.02%,257,172,770.19,6,0,0,0,0,30,17,22,0.0417,1,22,4,11,0.0044,0,395,0.0633
