time,mid_c,SMA_14,SMA_21,SMA_40,Slope_540
2017-11-16 14:00:00,2587.0,2572.657142857143,2575.028571428572,2579.195,0.28270438741788084
2017-11-16 18:00:00,2585.8,2573.3857142857146,2575.3142857142857,2579.215,0.28311540086823944
2017-11-16 22:00:00,2584.2,2574.1428571428573,2575.8952380952383,2579.1400000000003,0.28343762419547996
2017-11-17 02:00:00,2582.8,2574.457142857143,2575.885714285714,2579.05,0.2838317880224404
2017-11-17 06:00:00,2581.2,2575.1142857142854,2575.866666666667,2578.815,0.28428193436115273
2017-11-17 10:00:00,2583.6,2575.9571428571426,2575.914285714286,2578.605,0.2848542118914445
2017-11-17 14:00:00,2582.2,2577.042857142857,2576.0761904761903,2578.305,0.2854006091317949
2017-11-17 18:00:00,2576.4,2577.6571428571433,2575.8761904761905,2577.9900000000002,0.28579380511516755
2017-11-19 22:00:00,2571.4,2577.7999999999997,2575.6761904761906,2577.55,0.28606707232268347
2017-11-20 02:00:00,2572.0,2578.2999999999997,2575.6,2577.365,0.2863316518003605
2017-11-20 06:00:00,2573.2,2578.6,2575.352380952381,2577.415,0.28668635504389395
2017-11-20 10:00:00,2579.0,2579.128571428572,2575.685714285714,2577.285,0.287155751562934
2017-11-20 14:00:00,2582.4,2579.6428571428573,2576.190476190476,2577.25,0.28763240309847116
2017-11-20 18:00:00,2583.2,2580.3142857142857,2576.9619047619044,2577.175,0.2881036819589764
2017-11-20 22:00:00,2581.4,2579.914285714286,2577.6095238095236,2577.3849999999998,0.2885861710393002
2017-11-21 02:00:00,2582.0,2579.6428571428573,2578.2095238095235,2577.48,0.2889274921305553
2017-11-21 06:00:00,2583.6,2579.6,2579.095238095238,2577.63,0.2893248871833503
2017-11-21 10:00:00,2592.2,2580.2714285714283,2580.2,2577.945,0.29002107155526746
2017-11-21 14:00:00,2599.0,2581.542857142857,2581.504761904762,2578.3149999999996,0.2908387317286182
2017-11-21 18:00:00,2596.8,2582.4857142857145,2582.5333333333333,2578.7,0.29160896756618976
2017-11-21 22:00:00,2596.0,2583.4714285714285,2583.590476190476,2579.105,0.29234011624030104
2017-11-22 02:00:00,2597.4,2584.9714285714285,2584.085714285714,2579.74,0.2931021139761568
2017-11-22 06:00:00,2598.0,2586.871428571429,2584.6666666666665,2580.115,0.2940021551666652
2017-11-22 10:00:00,2598.2,2588.7428571428572,2585.3333333333335,2580.53,0.29499125320883973
2017-11-22 14:00:00,2596.4,2590.4,2585.9809523809527,2580.875,0.295913227106784
2017-11-22 18:00:00,2594.2,2591.485714285714,2586.6,2581.2599999999998,0.29678053689408324
2017-11-22 22:00:00,2594.4,2592.3428571428567,2587.114285714286,2581.6050000000005,0.29767974741568615
2017-11-23 02:00:00,2595.4,2593.214285714286,2587.7428571428572,2582.1,0.29861091963811803
2017-11-23 06:00:00,2596.0,2594.2571428571428,2588.67619047619,2582.66,0.29954934687704693
2017-11-23 10:00:00,2598.0,2595.4,2589.942857142857,2583.15,0.30050726054158855
2017-11-23 14:00:00,2597.2,2596.371428571428,2591.1428571428573,2583.7799999999997,0.30143107867691976
2017-11-23 22:00:00,2596.8,2596.7000000000003,2592.266666666667,2584.4049999999997,0.3023166784217748
2017-11-24 02:00:00,2597.4,2596.5857142857144,2593.1428571428573,2585.165,0.30326700937474643
2017-11-24 06:00:00,2598.2,2596.6857142857143,2593.8952380952383,2585.925,0.3041049561593529
