date,price,ma_small_long,ma_medium_long,ma_large_long,ma_small_short,ma_medium_short,ma_large_short,ma_slope,state_signal,order_signal,current_cash,cfd_units,portfolio_value,last_trade_investment,m_trade_profit ,stop_loss
19/11/2003 14:00,1039.4,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
19/11/2003 18:00,1042.7,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
19/11/2003 22:00,1043.7,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
20/11/2003 02:00,1043.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
20/11/2003 06:00,1035.6,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
20/11/2003 10:00,1038.1,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
20/11/2003 14:00,1044.9,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
20/11/2003 18:00,1033.1,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
20/11/2003 22:00,1032.6,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
21/11/2003 02:00,1034.9,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
21/11/2003 06:00,1036.4,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
21/11/2003 10:00,1035.9,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
21/11/2003 14:00,1035.6,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
21/11/2003 18:00,1037.4,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
23/11/2003 22:00,1037.1,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
24/11/2003 02:00,1036.8,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
24/11/2003 06:00,1041.3,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
24/11/2003 10:00,1042,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
24/11/2003 14:00,1047.8,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
24/11/2003 18:00,1050,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
24/11/2003 22:00,1050,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
25/11/2003 02:00,1051,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
25/11/2003 06:00,1049.5,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
25/11/2003 10:00,1051.5,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
25/11/2003 14:00,1052.8,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
25/11/2003 18:00,1053.5,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
25/11/2003 22:00,1054.8,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
26/11/2003 02:00,1055,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
26/11/2003 06:00,1057,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
26/11/2003 10:00,1058,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
26/11/2003 14:00,1055.5,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
26/11/2003 18:00,1057.3,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
26/11/2003 22:00,1057.3,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
27/11/2003 02:00,1057.5,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
28/11/2003 06:00,1056.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
28/11/2003 10:00,1055.5,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
28/11/2003 14:00,1059.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
28/11/2003 18:00,1059.5,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
30/11/2003 22:00,1057.9,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
01/12/2003 02:00,1062.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
01/12/2003 06:00,1062.4,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
01/12/2003 10:00,1062.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
01/12/2003 14:00,1068.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
01/12/2003 18:00,1069.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
01/12/2003 22:00,1069.2,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
02/12/2003 02:00,1069.1,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
02/12/2003 06:00,1068.6,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
02/12/2003 10:00,1067.4,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
02/12/2003 14:00,1068.6,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
02/12/2003 18:00,1066.9,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
02/12/2003 22:00,1066.6,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
03/12/2003 02:00,1067.1,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
03/12/2003 06:00,1067.9,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
03/12/2003 10:00,1070.9,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
03/12/2003 14:00,1072.9,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
03/12/2003 18:00,1065.3,0,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0
