date,price,ma_small_long,ma_medium_long,ma_large_long,ma_small_short,ma_medium_short,ma_large_short,ma_slope,state_signal,order_signal,current_cash,cfd_units,portfolio_value,last_trade_investment,m_trade_profit ,stop_loss
15/08/2012 01:00,1400.8,1404.52,1404.52,1404.52,1404.52,1404.52,1404.52,0.0377622,1,0,12,0,12,1,0,0
15/08/2012 05:00,1402.1,1404.51,1404.51,1404.51,1404.51,1404.51,1404.51,-0.16049,1,0,12,0,12,1,0,0
15/08/2012 09:00,1401.6,1404.33,1404.33,1404.33,1404.33,1404.33,1404.33,-0.309091,1,0,12,0,12,1,0,0
15/08/2012 13:00,1406,1404.8,1404.8,1404.8,1404.8,1404.8,1404.8,-0.423776,1,0,12,0,12,1,0,0
15/08/2012 17:00,1407.3,1405.02,1405.02,1405.02,1405.02,1405.02,1405.02,-0.332168,1,0,12,0,12,1,0,0
15/08/2012 21:00,1407.5,1405.19,1405.19,1405.19,1405.19,1405.19,1405.19,-0.219231,1,0,12,0,12,1,0,0
16/08/2012 01:00,1408.5,1405.33,1405.33,1405.33,1405.33,1405.33,1405.33,-0.0143357,1,0,12,0,12,1,0,0
16/08/2012 05:00,1406.9,1405.17,1405.17,1405.17,1405.17,1405.17,1405.17,0.19965,1,0,12,0,12,1,0,0
16/08/2012 09:00,1408.6,1405.07,1405.07,1405.07,1405.07,1405.07,1405.07,0.541608,1,0,12,0,12,1,0,0
16/08/2012 13:00,1414.2,1405.71,1405.71,1405.71,1405.71,1405.71,1405.71,0.961888,1,0,12,0,12,1,0,0
16/08/2012 17:00,1416.8,1406.81,1406.81,1406.81,1406.81,1406.81,1406.81,1.29266,1,0,12,0,12,1,0,0
16/08/2012 21:00,1414.7,1407.92,1407.92,1407.92,1407.92,1407.92,1407.92,1.35035,1,0,12,0,12,1,0,0
17/08/2012 01:00,1414.7,1409.08,1409.08,1409.08,1409.08,1409.08,1409.08,1.28776,1,0,12,0,12,1,0,0
17/08/2012 05:00,1415,1410.15,1410.15,1410.15,1410.15,1410.15,1410.15,1.1986,1,0,12,0,12,1,0,0
17/08/2012 09:00,1415,1411.27,1411.27,1411.27,1411.27,1411.27,1411.27,0.996503,1,0,12,0,12,1,0,0
17/08/2012 13:00,1415.6,1412.07,1412.07,1412.07,1412.07,1412.07,1412.07,0.923776,1,0,12,0,12,1,0,0
17/08/2012 17:00,1418,1412.96,1412.96,1412.96,1412.96,1412.96,1412.96,0.935315,1,0,12,0,12,1,0,0
17/08/2012 21:00,1418,1413.83,1413.83,1413.83,1413.83,1413.83,1413.83,0.881119,1,0,12,0,12,1,0,0
19/08/2012 21:00,1418,1414.62,1414.62,1414.62,1414.62,1414.62,1414.62,0.798951,1,0,12,0,12,1,0,0
20/08/2012 01:00,1417.2,1415.48,1415.48,1415.48,1415.48,1415.48,1415.48,0.546853,1,0,12,0,12,1,0,0
20/08/2012 05:00,1419,1416.35,1416.35,1416.35,1416.35,1416.35,1416.35,0.369231,1,0,12,0,12,1,0,0
20/08/2012 09:00,1415.8,1416.48,1416.48,1416.48,1416.48,1416.48,1416.48,0.25035,1,0,12,0,12,1,0,0
20/08/2012 13:00,1415.4,1416.37,1416.37,1416.37,1416.37,1416.37,1416.37,0.223077,1,0,12,0,12,1,0,0
20/08/2012 17:00,1417.4,1416.59,1416.59,1416.59,1416.59,1416.59,1416.59,0.187063,1,0,12,0,12,1,0,0
20/08/2012 21:00,1417,1416.78,1416.78,1416.78,1416.78,1416.78,1416.78,0.116783,1,0,12,0,12,1,0,0
21/08/2012 01:00,1417.6,1417,1417,1417,1417,1417,1417,0.0671329,1,0,12,0,12,1,0,0
21/08/2012 05:00,1420,1417.42,1417.42,1417.42,1417.42,1417.42,1417.42,0.0916084,1,0,12,0,12,1,0,0
21/08/2012 09:00,1422,1417.95,1417.95,1417.95,1417.95,1417.95,1417.95,0.185315,1,0,12,0,12,1,0,0
